region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
EAS,CHS,HG00560,HG00560,0.0337,-0.0539,-0.0175,0.0298,-0.0203,-0.0218,0.0229,0.0028,-0.0198,0.0096,-0.011,0.0037,-0.0079,-0.0309,0.0134
EAS,CHS,HG00565,HG00565,0.0373,-0.0518,-0.0314,0.0162,0.0077,0.0275,0.0037,-0.0265,-0.0286,0.0276,-0.0221,-0.0061,-0.0102,-0.0101,-0.0307
EAS,CHS,HG00566,HG00566,0.019,-0.0538,-0.0265,0.0183,-0.0016,-0.0054,0.0126,-0.0116,0.0023,-0.017,-0.0247,-0.0168,-0.0239,-0.0214,-0.0114
EAS,CHS,HG00580,HG00580,0.0341,-0.0519,-0.0101,-0.0225,0.0016,-0.0339,0.0385,0.0075,-0.0235,-0.0089,-0.0277,-0.0572,-0.0042,0.0374,0.0127
EAS,CHS,HG00581,HG00581,0.0232,-0.0612,-0.0298,0.0106,0.0121,0.0429,-0.0037,0.0143,0.0037,-0.0079,0.0053,-0.0243,-0.0419,0.0334,-0.0401
EAS,CHS,HG00583,HG00583,0.0367,-0.0553,-0.0106,-0.0074,0.0052,0.0322,0.0384,-0.0031,-0.0239,0.028,-0.0126,0.0,0.0199,0.0177,0.0115
EAS,CHS,HG00584,HG00584,0.0281,-0.0328,-0.013,-0.0036,-0.0181,0.0154,-0.0172,-0.0021,0.011,0.0107,-0.019,-0.0063,0.0089,0.0026,-0.024
EAS,CHS,HG00589,HG00589,0.0254,-0.048,-0.0244,0.0301,0.026,0.0029,0.0001,-0.0113,0.0329,0.0169,-0.0182,0.0044,0.0166,0.0207,0.0454
EAS,CHS,HG00590,HG00590,0.0383,-0.0503,-0.0374,-0.0002,0.0261,-0.0013,-0.0008,-0.0002,-0.0312,-0.0043,0.0198,-0.0183,-0.0156,-0.03,-0.022
EAS,CHS,HG00592,HG00592,0.0296,-0.0415,-0.0267,-0.0139,-0.022,0.0251,0.0165,-0.0134,0.0073,0.0003,0.0154,0.0255,-0.0021,-0.0062,0.0207
EAS,CHS,HG00593,HG00593,0.0215,-0.0407,-0.0344,-0.0274,-0.0177,-0.0176,-0.0118,-0.0271,-0.0178,0.024,-0.0148,-0.0211,-0.0313,0.007,-0.0328
EAS,CHS,HG00595,HG00595,0.0212,-0.0499,-0.0181,0.0247,0.0054,-0.0056,-0.0215,0.0276,0.0265,-0.004,0.0038,0.0114,0.0064,-0.0112,-0.0177
EAS,CHS,HG00596,HG00596,0.0296,-0.051,-0.0244,-0.0274,-0.0112,0.0273,-0.0448,-0.0125,-0.0187,-0.0138,0.0083,0.0153,0.0409,-0.0313,0.0124
EAS,CHS,HG00598,HG00598,0.0186,-0.0464,-0.0367,-0.0018,0.0091,-0.0142,-0.0086,-0.0002,0.0078,0.0317,0.0184,0.0099,-0.0251,0.0118,0.0018
EAS,CHS,HG00599,HG00599,0.0308,-0.0396,-0.0055,-0.013,0.011,0.0306,-0.0115,-0.0028,-0.0005,-0.0146,0.0003,-0.0105,-0.0123,0.0114,0.018
EAS,CHS,HG00607,HG00607,0.0283,-0.055,-0.0171,0.0023,0.0101,0.0063,0.0077,0.0043,0.0045,0.0454,-0.0206,0.0124,-0.0045,-0.0097,-0.0137
EAS,CHS,HG00608,HG00608,0.0251,-0.0399,-0.0295,-0.0125,0.0071,0.0181,-0.0162,0.0111,-0.0095,0.0078,0.017,-0.0007,-0.0197,0.0053,0.017
EAS,CHS,HG00610,HG00610,0.0195,-0.0476,-0.0305,-0.0301,-0.0447,0.0149,-0.006,0.0016,0.0011,0.0268,-0.0038,-0.0244,0.0175,-0.0001,0.0379
EAS,CHS,HG00611,HG00611,0.0311,-0.0341,-0.0098,-0.0094,-0.003,-0.011,0.0038,-0.0272,0.0383,-0.0158,0.0189,-0.0134,0.0012,0.022,-0.0127
EAS,CHS,HG00613,HG00613,0.0245,-0.0423,-0.0238,-0.0044,-0.0129,-0.0281,0.0148,0.0024,-0.0086,-0.0114,0.0095,0.0132,-0.0061,0.0125,-0.0115
EAS,CHS,HG00614,HG00614,0.0226,-0.0474,-0.0319,0.0212,-0.0034,-0.0081,0.0271,-0.0015,0.0038,0.01,0.0132,0.0088,-0.0019,-0.0406,0.0054
EAS,CHS,HG00619,HG00619,0.0321,-0.0515,-0.0142,0.0046,0.0092,0.0054,-0.0095,-0.0016,0.0175,0.0049,0.0051,0.012,-0.0086,-0.0407,-0.0055
EAS,CHS,HG00620,HG00620,0.0193,-0.0632,-0.016,0.0222,0.0132,0.0249,0.0104,-0.021,-0.0112,0.0551,0.0154,-0.0338,-0.0148,0.0019,0.0024
EAS,CHS,HG00622,HG00622,0.0307,-0.048,-0.0265,-0.0155,-0.0222,-0.0028,-0.0018,-0.0211,0.0391,0.0211,0.0165,-0.0185,0.0093,0.0041,-0.0481
EAS,CHS,HG00623,HG00623,0.02,-0.0406,-0.0206,0.002,-0.0004,0.0211,0.0289,-0.0004,-0.0227,-0.0074,-0.0243,-0.0464,-0.0395,0.009,-0.0198
EAS,CHS,HG00625,HG00625,0.0326,-0.0486,-0.0223,-0.0043,-0.0033,0.0302,0.0164,-0.0005,-0.0236,0.0262,0.0177,0.0104,-0.0324,-0.0005,0.0327
EAS,CHS,HG00626,HG00626,0.0259,-0.0489,-0.0122,-0.0033,0.0344,-0.0324,-0.0075,-0.0133,0.0097,0.0029,0.0299,-0.0091,-0.0072,-0.0076,0.0152
EAS,CHS,HG00628,HG00628,0.0196,-0.0327,-0.008,-0.0085,-0.0207,-0.0056,0.0238,0.0144,0.0121,-0.0273,0.0003,0.0165,-0.0203,-0.047,0.0223
EAS,CHS,HG00629,HG00629,0.0254,-0.0404,-0.0341,0.003,-0.0088,-0.011,-0.0024,-0.0285,-0.0288,0.0185,-0.0292,0.0254,0.0228,-0.0176,-0.0389
EAS,CHS,HG00631,HG00631,0.0229,-0.0482,-0.0217,-0.0052,-0.0133,-0.0237,0.0378,-0.0018,0.0213,0.0184,-0.0231,-0.0098,-0.0034,0.0209,0.0111
EAS,CHS,HG00632,HG00632,0.0268,-0.0508,-0.0349,0.0276,0.0123,0.0089,0.0162,-0.0206,-0.0159,0.0275,-0.0187,-0.0038,0.0034,-0.0182,0.0081
EAS,CHS,HG00634,HG00634,0.0259,-0.0437,-0.0284,-0.0317,0.0186,0.0279,0.0241,0.0232,-0.003,0.0251,0.0251,-0.0236,-0.0093,-0.0069,0.008
EAS,CHS,HG00650,HG00650,0.0237,-0.0443,-0.0246,-0.0287,-0.003,-0.0229,-0.0177,-0.0263,0.0035,0.0147,0.0119,0.0182,0.0012,0.0066,-0.0293
EAS,CHS,HG00651,HG00651,0.0281,-0.0471,-0.0141,-0.0097,-0.0057,-0.0335,0.0218,-0.012,0.0056,-0.0299,-0.0081,0.0168,-0.0046,0.0107,-0.0074
EAS,CHS,HG00653,HG00653,0.0228,-0.0431,-0.0365,-0.0156,-0.0108,0.0235,0.0243,-0.0109,0.0048,0.0052,0.0242,-0.0134,-0.0005,-0.0035,-0.0184
EAS,CHS,HG00654,HG00654,0.027,-0.049,-0.013,0.0231,0.0019,-0.0192,0.0193,-0.0147,-0.0152,0.0029,-0.0049,0.0283,-0.017,0.0428,0.0131
EAS,CHS,HG00656,HG00656,0.0296,-0.043,-0.0206,-0.0149,-0.018,0.0049,-0.0122,0.004,0.0063,-0.0227,-0.0067,0.0271,0.039,0.005,0.014
EAS,CHS,HG00657,HG00657,0.0282,-0.0592,-0.0058,-0.0053,-0.0035,-0.0118,0.0001,0.0319,0.0109,-0.047,0.0047,-0.0097,-0.0161,-0.0085,-0.0395
EAS,CHS,HG00662,HG00662,0.0382,-0.0617,-0.0267,-0.037,-0.0104,-0.0032,0.0282,0.0165,-0.0217,-0.0312,-0.0036,0.0033,-0.0121,0.0522,-0.0018
EAS,CHS,HG00663,HG00663,0.0217,-0.0548,-0.0299,0.0152,-0.0247,0.0175,-0.0269,-0.0107,0.0209,0.0133,-0.0067,-0.0351,0.0024,-0.0295,-0.0012
EAS,CHS,HG00671,HG00671,0.0329,-0.051,-0.0414,-0.0502,-0.0041,-0.0374,0.029,0.0418,-0.0091,-0.0178,0.0347,0.0067,-0.0113,-0.0319,0.0164
EAS,CHS,HG00672,HG00672,0.0248,-0.0421,-0.0249,-0.0239,-0.0312,-0.0124,-0.0192,0.0112,0.0111,0.0017,-0.0269,0.0072,0.0207,0.016,-0.0026
EAS,CHS,HG00674,HG00674,0.0318,-0.0514,-0.032,0.0367,0.0139,0.0042,0.0068,0.0027,-0.0216,-0.0086,-0.0026,0.004,-0.0024,-0.0091,0.0014
EAS,CHS,HG00675,HG00675,0.0228,-0.0524,-0.034,-0.0037,0.0227,-0.0052,0.0096,-0.0216,-0.0188,-0.0113,0.0108,-0.0273,-0.0108,0.0133,-0.0154
EAS,CHS,HG00683,HG00683,0.0296,-0.0462,-0.0025,-0.0216,-0.0157,0.0037,0.016,-0.0216,0.0088,-0.0044,-0.0191,-0.0175,-0.0385,0.0065,0.0022
EAS,CHS,HG00684,HG00684,0.0237,-0.0465,-0.0055,0.0204,-0.021,-0.0147,0.0101,-0.0123,-0.0093,0.0184,-0.0199,0.0016,0.0156,0.0148,0.012
EAS,CHS,HG00689,HG00689,0.0289,-0.051,-0.0235,0.0012,-0.0166,0.0265,-0.0263,-0.0015,-0.0117,-0.0035,0.008,0.0124,0.0182,-0.0114,0.0094
EAS,CHS,HG00690,HG00690,0.0214,-0.0517,-0.0093,-0.0059,0.006,0.033,0.0038,0.0122,0.0287,0.0399,-0.0114,-0.0119,-0.0164,0.0003,0.0205
EAS,CHS,HG00692,HG00692,0.0227,-0.0474,-0.0217,-0.0033,0.0007,0.0174,-0.0034,0.0177,0.0087,-0.0187,0.0196,-0.0093,-0.0011,0.0023,-0.0391
EAS,CHS,HG00693,HG00693,0.0223,-0.0359,-0.0248,-0.0185,0.0127,-0.0133,-0.0228,0.0302,0.0098,-0.0126,0.0114,0.0155,-0.015,0.0184,0.012
EAS,CHS,HG00698,HG00698,0.0177,-0.0561,-0.0238,-0.0203,-0.0128,-0.0038,0.0292,0.0004,-0.0026,-0.0058,-0.0162,-0.0096,0.0355,0.0176,0.0003
EAS,CHS,HG00699,HG00699,0.0345,-0.0556,-0.0112,-0.0071,-0.045,-0.0186,-0.0097,-0.0565,-0.0195,0.0076,-0.0043,0.0065,0.0039,-0.0045,-0.0329
EAS,CHS,HG00701,HG00701,0.021,-0.0482,-0.0167,-0.0134,-0.0228,0.0044,0.0064,0.0114,-0.0131,-0.008,0.0114,-0.002,-0.0188,-0.027,-0.014
EAS,CHS,HG00704,HG00704,0.02,-0.0476,-0.0278,-0.0064,0.0247,0.0347,-0.0305,0.0109,-0.0071,0.0005,-0.0063,-0.0086,-0.0106,0.0436,0.0166
EAS,CHS,HG00705,HG00705,0.0307,-0.0387,-0.0176,0.0004,0.0231,-0.009,-0.0018,-0.0332,-0.0241,-0.0214,-0.0244,0.0005,-0.0018,-0.0191,0.0016
EAS,CHS,HG00707,HG00707,0.0259,-0.0478,-0.0241,0.0035,0.0009,0.0203,-0.0154,0.0033,-0.0167,-0.0163,-0.0,-0.0133,-0.0355,0.0319,0.0177
EAS,CHS,HG00708,HG00708,0.0281,-0.0456,-0.0287,-0.0165,-0.0247,-0.0386,0.0008,0.0168,-0.0014,-0.0135,0.0096,0.0576,0.0092,0.0023,-0.0326
EAS,CHS,HG00717,HG00717,0.0369,-0.0402,-0.0253,-0.0121,0.0041,-0.0293,-0.0017,0.0094,0.0246,-0.0071,-0.0105,-0.0022,-0.0038,-0.0442,-0.0082
EAS,CHS,HG00728,HG00728,0.0217,-0.0438,0.0096,0.0134,0.0368,-0.0287,0.0195,0.0051,-0.0056,0.0127,0.0197,0.04,0.0024,-0.0351,0.0081
EAS,CHS,HG00729,HG00729,0.0243,-0.0484,-0.012,-0.013,0.0025,0.0176,-0.0039,0.0104,-0.0212,0.0066,0.0066,0.0187,-0.018,-0.0028,0.0065
EUR,GBR,HG00096,HG00096,0.0122,0.0501,-0.0302,-0.0044,0.0268,0.0214,-0.0322,-0.0074,-0.0226,-0.013,-0.0039,-0.0408,-0.0095,-0.0277,-0.0007
EUR,GBR,HG00097,HG00097,0.0142,0.0589,-0.0412,-0.0049,0.0958,-0.0265,-0.0196,0.0221,-0.0022,-0.0018,0.0386,-0.0151,-0.0138,-0.0248,-0.0211
EUR,GBR,HG00099,HG00099,0.0121,0.0423,-0.0384,0.0021,0.0291,0.0161,-0.0511,-0.0242,0.038,0.0401,-0.0301,-0.0626,-0.0221,0.0915,0.0065
EUR,GBR,HG00100,HG00100,0.0107,0.0376,-0.01,0.0144,-0.07,0.0408,-0.0369,0.0694,-0.1612,-0.0397,-0.1365,-0.0074,-0.0226,0.014,-0.0308
EUR,GBR,HG00101,HG00101,0.014,0.0428,-0.0274,-0.0116,-0.0297,0.0376,-0.0284,0.0172,0.0421,-0.005,0.0107,0.008,-0.0224,-0.0298,-0.0324
EUR,GBR,HG00102,HG00102,0.0078,0.0392,-0.0294,0.0203,0.0472,-0.0002,0.0033,0.0406,-0.0061,-0.0016,0.0657,0.0299,0.0021,-0.0318,0.0623
EUR,GBR,HG00103,HG00103,0.0122,0.0349,-0.0237,0.0229,0.0487,0.0136,0.0255,-0.0295,0.0333,0.0072,0.0055,-0.0256,0.0338,-0.0246,0.0086
EUR,GBR,HG00105,HG00105,0.0039,0.033,-0.0257,0.0662,-0.003,-0.003,0.0414,-0.0831,0.0036,0.0188,0.0098,-0.043,-0.0168,-0.0742,0.0366
EUR,GBR,HG00106,HG00106,0.0125,0.0439,-0.007,-0.0186,0.0075,0.0043,-0.0039,-0.0028,-0.0716,-0.0019,-0.0149,0.0186,-0.0117,0.003,0.0412
EUR,GBR,HG00107,HG00107,0.0149,0.0482,-0.0379,0.0391,0.0305,0.0555,-0.0496,0.1793,0.0332,0.1035,-0.0418,0.0437,-0.0472,-0.001,-0.0006
EUR,GBR,HG00108,HG00108,0.0113,0.0407,-0.0375,-0.0443,-0.066,0.0217,-0.0054,0.0417,-0.0196,0.0183,0.0246,0.0005,0.0071,0.0312,0.0003
EUR,GBR,HG00109,HG00109,0.0068,0.0395,-0.0302,-0.007,-0.006,0.0201,0.0571,-0.0301,-0.0188,0.0108,-0.0028,-0.0173,-0.0128,-0.0312,-0.022
EUR,GBR,HG00110,HG00110,0.017,0.0461,-0.0371,-0.033,0.0067,0.0241,0.0067,0.0161,-0.0326,0.0053,-0.0325,0.0422,0.0381,0.02,0.0286
EUR,GBR,HG00111,HG00111,0.0161,0.0442,-0.0309,0.0312,-0.0195,-0.0168,-0.0154,0.0252,-0.0124,-0.0122,-0.0619,0.0062,0.0047,-0.0004,0.0281
EUR,GBR,HG00112,HG00112,0.0122,0.0399,-0.0221,-0.0155,0.0051,-0.0144,-0.0101,-0.0068,-0.027,0.0281,-0.0361,-0.0106,-0.053,0.0257,0.005
EUR,GBR,HG00113,HG00113,0.0171,0.0371,-0.0178,-0.0173,-0.0014,0.0082,-0.005,-0.019,-0.004,-0.0351,-0.0187,-0.0116,0.0033,0.0167,0.0556
EUR,GBR,HG00114,HG00114,0.011,0.0368,-0.0099,0.0055,0.0092,0.0191,-0.0232,-0.0009,0.007,0.0357,0.008,-0.0624,-0.0032,-0.0779,0.0076
EUR,GBR,HG00115,HG00115,0.0165,0.0316,-0.0127,0.0136,-0.0212,0.0173,0.0129,0.0636,0.03,0.0268,0.0509,-0.0166,0.0252,0.0228,-0.0145
EUR,GBR,HG00116,HG00116,0.0076,0.0364,-0.0284,0.0057,0.0114,-0.0007,0.0413,0.0156,0.0442,-0.0481,0.0183,-0.0007,-0.0164,-0.029,0.0521
EUR,GBR,HG00117,HG00117,0.0141,0.0362,-0.0314,-0.0007,0.035,0.0058,-0.0483,-0.0165,-0.0168,-0.0082,-0.0589,0.0325,0.0423,-0.0899,0.0511
EUR,GBR,HG00118,HG00118,0.0146,0.0416,-0.0335,-0.0609,-0.0262,0.0103,0.0153,-0.0061,-0.0035,-0.0137,-0.069,-0.0198,0.0218,-0.0738,0.0598
EUR,GBR,HG00119,HG00119,0.0111,0.0582,-0.0302,0.0002,0.0528,-0.0118,-0.0525,-0.0,0.027,0.0725,0.0314,-0.0191,-0.0099,0.0643,0.0322
EUR,GBR,HG00120,HG00120,0.015,0.053,-0.0274,0.0364,-0.0035,0.0019,-0.0025,0.0483,0.0108,0.0443,0.007,0.0213,0.0368,0.0127,0.1057
EUR,GBR,HG00121,HG00121,0.0108,0.0485,-0.041,-0.0048,0.0084,0.0327,-0.0171,0.0114,0.0125,0.0183,-0.0801,0.0247,0.0165,-0.0088,0.0797
EUR,GBR,HG00122,HG00122,0.0148,0.027,-0.0223,0.0189,0.0033,-0.0161,0.0104,-0.0249,-0.0443,0.0084,-0.0357,0.0164,0.0149,0.0432,0.0366
EUR,GBR,HG00123,HG00123,0.0145,0.0367,-0.0331,-0.0112,0.0234,0.0019,-0.024,0.0068,0.0243,0.0378,-0.0143,-0.0114,0.0597,0.0334,0.1014
EUR,GBR,HG00125,HG00125,0.0059,0.0324,-0.0386,0.0234,-0.0194,0.0492,0.0179,0.0433,-0.0279,-0.0397,-0.0302,0.069,-0.0669,-0.0043,-0.0695
EUR,GBR,HG00126,HG00126,0.0111,0.0366,-0.0246,-0.0734,0.0067,-0.0516,-0.0164,0.0348,0.0515,-0.0514,-0.0746,0.0369,0.0318,-0.0122,0.0037
EUR,GBR,HG00127,HG00127,0.0156,0.0365,-0.0189,-0.0098,-0.0036,0.0355,-0.0848,-0.0463,-0.0904,0.0299,0.0147,-0.0482,-0.0294,0.0777,0.0094
EUR,GBR,HG00128,HG00128,0.0094,0.0382,-0.0396,0.0373,-0.0039,0.0239,-0.0143,0.0084,-0.0152,0.0297,0.0045,-0.0383,-0.0276,0.0036,-0.04
EUR,GBR,HG00129,HG00129,0.0155,0.0458,-0.0201,0.0132,0.0072,-0.0257,-0.0558,0.0466,-0.0363,-0.024,0.0379,-0.0094,-0.0083,-0.0259,-0.0394
EUR,GBR,HG00130,HG00130,0.0135,0.0479,-0.0269,-0.0109,0.02,-0.0603,0.0489,-0.0263,0.0617,-0.0295,0.0178,-0.0241,-0.0635,-0.0148,-0.0276
EUR,GBR,HG00131,HG00131,0.0168,0.0305,-0.0162,-0.005,-0.1004,0.0042,0.052,0.0269,0.0582,0.0325,0.0091,-0.0097,0.0054,-0.0441,-0.0264
EUR,GBR,HG00132,HG00132,0.0089,0.0452,-0.0417,0.0139,-0.0046,0.016,0.0097,-0.0348,-0.0356,0.0002,0.0146,0.0221,0.0619,0.0179,-0.02
EUR,GBR,HG00133,HG00133,0.0103,0.0379,-0.0125,0.0143,0.006,0.0587,-0.0042,0.0435,-0.0018,-0.0303,-0.0282,0.03,-0.0117,0.003,0.0253
EUR,GBR,HG00136,HG00136,0.0148,0.0384,-0.0237,-0.0444,0.0457,0.0048,-0.0437,0.0374,0.0527,-0.0126,-0.001,0.0034,0.0611,0.0229,0.0419
EUR,GBR,HG00137,HG00137,0.0074,0.0368,-0.0137,0.0276,-0.0065,-0.0192,0.0091,-0.0477,0.0386,0.0396,-0.0146,-0.0633,0.0293,-0.0439,0.0104
EUR,GBR,HG00138,HG00138,0.0055,0.0492,-0.028,-0.0152,0.04,0.0039,-0.0035,0.0485,0.0802,-0.002,-0.0147,0.0101,-0.0228,-0.0186,-0.048
EUR,GBR,HG00139,HG00139,0.0144,0.0535,-0.0412,0.0385,0.0525,-0.0202,-0.0008,0.0326,0.0603,0.0087,-0.0208,0.0478,0.0069,-0.0595,-0.0685
EUR,GBR,HG00140,HG00140,0.0129,0.0342,-0.0086,-0.0345,-0.0403,0.0283,-0.0225,-0.008,-0.0012,-0.0079,0.0028,-0.0085,0.01,-0.0204,0.0414
EUR,GBR,HG00141,HG00141,0.0125,0.0348,-0.0296,-0.0025,0.0158,0.02,0.0432,0.047,0.035,-0.0267,0.0107,0.0297,0.0127,0.0275,0.0894
EUR,GBR,HG00142,HG00142,0.0143,0.0502,-0.0187,0.011,0.0009,-0.0197,-0.0016,-0.0113,-0.0672,-0.0109,-0.0214,0.0262,-0.0392,-0.0003,-0.0092
EUR,GBR,HG00143,HG00143,0.0111,0.0282,-0.0232,-0.0379,0.0302,-0.0095,-0.0317,0.0387,0.0026,0.0497,-0.0145,-0.0003,-0.0069,0.0267,0.0046
EUR,GBR,HG00145,HG00145,0.0186,0.0348,-0.0166,-0.017,-0.0337,0.0199,-0.0096,-0.015,0.0125,-0.0101,0.0389,0.0499,0.0548,0.0596,-0.0263
EUR,GBR,HG00146,HG00146,0.017,0.0492,-0.0219,-0.0428,0.0336,-0.004,-0.0108,0.0701,0.056,-0.0067,-0.0061,0.0117,0.0149,0.0423,0.0611
EUR,GBR,HG00148,HG00148,0.0092,0.046,-0.0071,0.0275,-0.004,0.0386,0.0241,-0.0087,0.0176,0.0384,0.0451,0.0339,-0.0207,-0.0034,0.0012
EUR,GBR,HG00149,HG00149,0.0134,0.0355,-0.0263,-0.0066,0.0748,0.0239,-0.0145,0.0304,-0.0111,-0.0294,-0.026,-0.0502,0.0025,-0.0203,-0.024
EUR,GBR,HG00150,HG00150,0.0099,0.0324,-0.0306,0.0237,0.0325,-0.0028,-0.0111,-0.0336,0.0076,0.0195,0.0218,-0.0256,0.0101,0.0155,-0.0036
EUR,GBR,HG00151,HG00151,0.0108,0.0491,-0.0274,-0.0173,-0.059,-0.0327,0.0165,0.0741,-0.0294,-0.0082,-0.0093,-0.0194,-0.0014,-0.0652,-0.0045
EUR,GBR,HG00154,HG00154,0.0143,0.0443,-0.0335,0.0358,-0.0001,-0.0088,0.0004,-0.0193,-0.0327,0.0216,0.0044,0.0009,-0.0002,-0.0325,0.0014
EUR,GBR,HG00155,HG00155,0.0164,0.0345,-0.025,0.0426,0.0337,0.0067,0.0604,0.0288,0.0964,0.001,0.0377,0.0156,0.0749,-0.0517,0.0626
EUR,GBR,HG00157,HG00157,0.0141,0.0467,-0.022,0.0263,-0.0136,0.0335,-0.0195,-0.0667,0.0036,-0.0268,-0.0164,0.0355,0.0532,0.0092,-0.0371
EUR,GBR,HG00158,HG00158,0.0102,0.0228,-0.0086,0.0097,-0.0272,-0.0354,0.0039,0.0034,0.0648,-0.0176,0.0172,0.0044,0.0,-0.0065,0.0076
EUR,GBR,HG00159,HG00159,0.0155,0.0516,-0.0339,0.0007,0.08,0.0083,-0.0622,-0.0131,-0.015,0.0124,-0.0353,-0.0334,0.0084,0.0117,0.0178
EUR,GBR,HG00160,HG00160,0.0146,0.0449,-0.0282,-0.0021,0.0141,-0.026,0.0085,-0.0109,-0.0155,-0.0317,-0.0501,0.0016,-0.0373,-0.0151,-0.0239
EUR,GBR,HG00231,HG00231,0.0103,0.0375,-0.025,0.0062,0.0273,-0.0112,0.0539,0.0023,-0.0303,-0.0029,0.0412,-0.0141,0.0361,-0.026,0.0136
EUR,GBR,HG00232,HG00232,0.0173,0.0357,-0.0186,0.0128,-0.069,0.0622,0.0253,-0.0111,0.0517,-0.0265,0.0338,-0.0595,-0.0193,-0.0171,-0.0258
EUR,GBR,HG00233,HG00233,0.0129,0.0301,-0.0321,-0.0285,-0.0039,0.0142,-0.0392,-0.0576,-0.0017,-0.0174,0.0001,0.0462,-0.0018,0.0791,0.0011
EUR,GBR,HG00234,HG00234,0.0093,0.0489,-0.0417,-0.0508,0.0149,-0.0027,-0.0615,0.0204,0.1063,0.0008,-0.0817,-0.056,0.0839,-0.0018,-0.0094
EUR,GBR,HG00235,HG00235,0.0088,0.0463,-0.0078,-0.008,-0.0192,-0.0088,0.028,-0.026,0.0301,0.026,0.0407,-0.0288,0.0203,-0.016,-0.02
EUR,GBR,HG00236,HG00236,0.0157,0.0391,-0.0322,0.016,0.0358,0.0018,0.0138,0.0004,0.0556,-0.0478,0.0018,0.0078,0.0008,-0.0078,0.0321
EUR,GBR,HG00237,HG00237,0.0134,0.047,-0.0291,0.025,0.0229,0.0271,-0.0251,0.0113,-0.0646,0.005,-0.0325,0.0188,0.015,0.0092,0.0328
EUR,GBR,HG00238,HG00238,0.0107,0.0428,-0.0171,-0.0188,-0.0862,0.0448,-0.0054,-0.0183,-0.0031,-0.0159,-0.0037,0.0236,0.0457,-0.014,-0.0175
EUR,GBR,HG00239,HG00239,0.0125,0.0424,-0.0245,-0.0237,0.0023,0.0021,0.0256,-0.0275,-0.0218,0.0601,-0.0262,-0.0107,-0.005,0.0057,0.0124
EUR,GBR,HG00240,HG00240,0.0101,0.0464,-0.0209,-0.0266,-0.0295,-0.0013,-0.002,-0.0087,0.0094,-0.0175,0.0135,0.091,0.0536,0.024,-0.0246
EUR,GBR,HG00242,HG00242,0.0155,0.0438,-0.019,-0.0156,-0.03,0.0482,-0.0039,-0.057,-0.0158,-0.0497,0.0744,0.0576,0.0295,0.029,0.0629
EUR,GBR,HG00243,HG00243,0.0088,0.039,0.0019,0.0211,-0.0266,0.0009,0.0108,-0.0091,-0.0297,-0.0018,-0.0193,-0.021,0.0192,-0.0025,0.0406
EUR,GBR,HG00244,HG00244,0.0184,0.0349,-0.0121,-0.0016,-0.0309,0.0148,-0.0189,0.0075,0.0283,-0.0322,0.0015,-0.0023,-0.0111,-0.017,-0.0049
EUR,GBR,HG00245,HG00245,0.0198,0.0452,-0.0211,-0.0003,0.0305,-0.0121,0.0062,0.0266,0.0207,-0.0231,-0.0284,0.0494,-0.0073,0.0355,0.01
EUR,GBR,HG00246,HG00246,0.0139,0.029,-0.0249,-0.0003,0.0496,0.0019,0.0026,0.0663,0.0292,0.0278,-0.0384,0.0198,-0.0389,-0.0105,-0.023
EUR,GBR,HG00250,HG00250,0.0105,0.0338,-0.0044,-0.0243,-0.0155,0.0059,-0.0327,-0.0125,-0.0176,-0.0115,0.0005,0.0312,-0.0014,-0.0277,0.0471
EUR,GBR,HG00251,HG00251,0.0045,0.0486,-0.0294,-0.0302,0.0233,0.0183,-0.0029,0.0702,0.065,-0.0302,0.0438,0.0578,0.0667,0.0258,0.1198
EUR,GBR,HG00252,HG00252,0.02,0.0139,-0.0164,0.0116,0.001,-0.0127,0.0019,-0.0493,0.0737,-0.0296,0.0007,-0.0398,0.0427,-0.0484,-0.0395
EUR,GBR,HG00253,HG00253,0.0164,0.0386,-0.0365,0.015,-0.0143,-0.0239,0.0663,0.0109,0.0009,0.0116,0.0099,0.0221,-0.0441,0.0011,0.0133
EUR,GBR,HG00254,HG00254,0.0138,0.037,-0.0047,0.0301,0.028,-0.0378,-0.0275,-0.0003,-0.0255,0.0121,-0.0064,0.0116,0.0249,-0.051,-0.0217
EUR,GBR,HG00255,HG00255,0.0126,0.028,-0.0321,-0.0085,0.0402,-0.0106,0.0117,0.0592,0.0432,-0.0188,-0.0065,0.017,0.0565,0.0414,0.0091
EUR,GBR,HG00256,HG00256,0.0151,0.0234,-0.0341,0.0045,0.0127,0.0,-0.0166,0.0244,-0.0025,-0.018,0.0181,0.0034,0.0044,-0.0445,-0.0101
EUR,GBR,HG00257,HG00257,0.0101,0.0418,-0.0246,0.0261,-0.0098,0.0208,0.0274,0.0023,0.0539,0.045,-0.0216,0.0354,-0.0038,0.0498,0.0477
EUR,GBR,HG00258,HG00258,0.0182,0.0351,-0.0193,-0.0163,-0.0327,0.0073,0.0005,0.0124,-0.0215,0.0791,0.0416,-0.0323,0.0183,-0.0328,0.0209
EUR,GBR,HG00259,HG00259,0.0116,0.0406,-0.0393,0.0276,-0.0124,0.059,0.0429,-0.0122,-0.0044,0.0627,0.0481,0.0328,0.0061,0.0509,0.0779
